state/ut,urban-percentage,rural-percentage,p-value
00,86.57524032525328,95.7560374547898,0.2790102034939975
01,75.60626370060719,86.18010860710184,0.13948436751609206
02,90.34655334673343,95.45312942738482,0.1152293718293435
03,65.390975374324,75.60641625738461,0.19837319735360037
04,69.05614349915584,84.98499534338242,0.00015585558893307493
05,96.15618209591722,98.99656868582628,0.28322695822161364
06,93.12828633640662,96.59001297385319,0.19439571623200386
07,91.73579725795852,98.69368702898517,0.0025085704268678886
08,97.66986145364714,98.81649935130541,0.11092821531908417
09,97.03828714659872,99.18370446847517,0.24108214560260635
10,96.4288533031423,98.63260086187094,0.13435878314237507
11,58.831343030902865,74.14086245265307,0.1526643082072778
12,60.28692153297896,72.56887461809261,0.08545585370814666
13,59.49058262663626,78.24666651510157,0.2336673968326268
14,71.14022111025062,81.39713302071586,0.08481153326761355
15,93.90507738237861,96.5519997716178,0.714558725052488
16,90.94037878086604,95.89034177043456,0.11051467674851494
17,74.5355613401629,94.80049876889096,0.3285278441502484
18,68.55494388822478,88.92315725790478,0.21168291273804674
19,92.37985134706965,98.93206536636401,0.3547485421734262
20,91.66983589310608,96.27938821012415,0.1458468701926638
21,69.09881067830858,90.38887336154335,0.25077776184686507
22,96.20823625534908,98.99304675279596,0.23968755553998164
23,96.5359461329322,98.92928882103843,0.23196734902384059
24,78.48411286924187,91.26294232052017,0.4143590924380973
25,85.34708587866623,87.07033578382675,0.0006042293020221918
26,80.1625206264205,78.34245333508088,0.1403028360322771
27,73.13612416356098,90.13423923039666,0.5060772366312816
28,85.88591582112454,95.81007684970194,0.29879951654595016
29,75.51870268816991,94.53369802266306,0.40252950364679463
30,47.12609201004837,52.55278387475056,0.013790293152851905
31,84.15719621711834,85.80722721165405,0.0004660010146191213
32,88.5253938424314,92.21376859602996,0.3575919150318061
33,94.62018406847696,98.47253488421441,0.4429096097413052
34,92.18577946955332,98.72747975708502,0.8156166045767077
35,75.90599910793934,83.91517252723615,0.18689802301117112
