,,,,C-14 POPULATION IN FIVE YEAR AGE-GROUP BY RESIDENCE AND SEX ,,,,,,,,,
Table,State,Distt.,Area Name,Age-group,Total ,,,Rural,,,Urban,,
Name,Code,Code,,,,,,,,,,,
,,,,,Persons,Males,Females,Persons,Males,Females,Persons,Males,Females
,,,,1,2,3,4,5,6,7,8,9,10
,,,,,,,,,,,,,
,,,,,,,,,,,,,
C4114,02,000,State - HIMACHAL PRADESH (02),45-49,395128,197642,197486,350793,173489,177304,44335,24153,20182
C4114,02,000,State - HIMACHAL PRADESH (02),50-54,330687,165724,164963,295411,145792,149619,35276,19932,15344
C4114,02,000,State - HIMACHAL PRADESH (02),55-59,266860,135245,131615,240093,119998,120095,26767,15247,11520
C4114,02,000,State - HIMACHAL PRADESH (02),60-64,231372,115464,115908,212263,105331,106932,19109,10133,8976
C4114,02,000,State - HIMACHAL PRADESH (02),65-69,158607,78387,80220,146096,71950,74146,12511,6437,6074
C4114,02,000,State - HIMACHAL PRADESH (02),70-74,130587,62119,68468,120932,57250,63682,9655,4869,4786
C4114,02,000,State - HIMACHAL PRADESH (02),75-79,75706,36440,39266,69958,33561,36397,5748,2879,2869
C4114,02,000,State - HIMACHAL PRADESH (02),80+,106737,48465,58272,100043,45339,54704,6694,3126,3568
C4114,02,000,State - HIMACHAL PRADESH (02),Age not stated,10163,5353,4810,9386,4899,4487,777,454,323
C4114,03,000,State - PUNJAB (03),All ages,27743338,14639465,13103873,17344192,9093476,8250716,10399146,5545989,4853157
C4114,03,000,State - PUNJAB (03),0-4,2133529,1149956,983573,1351369,729984,621385,782160,419972,362188
C4114,03,000,State - PUNJAB (03),5-9,2368019,1301682,1066337,1507022,827905,679117,860997,473777,387220
C4114,03,000,State - PUNJAB (03),10-14,2583402,1445530,1137872,1668828,931366,737462,914574,514164,400410
C4114,03,000,State - PUNJAB (03),15-19,2817683,1570180,1247503,1814427,1003831,810596,1003256,566349,436907
C4114,03,000,State - PUNJAB (03),20-24,2776636,1465531,1311105,1706833,888739,818094,1069803,576792,493011
C4114,03,000,State - PUNJAB (03),25-29,2463861,1270405,1193456,1455456,738196,717260,1008405,532209,476196
C4114,03,000,State - PUNJAB (03),30-34,2116539,1082533,1034006,1263506,636268,627238,853033,446265,406768
C4114,03,000,State - PUNJAB (03),35-39,1989071,1010862,978209,1202842,604249,598593,786229,406613,379616
