state/ut,percentage-3-lang-urban,percentage-2-lang-urban,percentage-1-lang-urban,percentage-3-lang-rural,percentage-2-lang-rural,percentage-1-lang-rural,p-value
00,13.424759674746731,86.57524032525328,59.60095185407026,4.243962545210197,95.7560374547898,80.49274855253414,0.2790102034939975
01,24.39373629939282,75.60626370060719,41.281389427252726,13.819891392898159,86.18010860710184,54.246700175449,0.13948436751609206
02,9.653446653266565,90.34655334673343,62.06720770544563,4.546870572615183,95.45312942738482,84.10767399875324,0.1152293718293435
03,34.60902462567599,65.390975374324,42.76410774500137,24.393583742615395,75.60641625738461,59.16108401014011,0.19837319735360037
04,30.943856500844163,69.05614349915584,44.644939544589704,15.01500465661757,84.98499534338242,59.56331275223345,0.00015585558893307493
05,3.843817904082788,96.15618209591722,69.74671223721346,1.0034313141737177,98.99656868582628,88.13078783803333,0.28322695822161364
06,6.871713663593378,93.12828633640662,67.54370538321031,3.4099870261468057,96.59001297385319,83.29709833071048,0.19439571623200386
07,8.264202742041478,91.73579725795852,58.95569396573343,1.3063129710148387,98.69368702898517,76.44317276072566,0.0025085704268678886
08,2.33013854635286,97.66986145364714,81.07611500059977,1.1835006486945954,98.81649935130541,91.7534039378993,0.11092821531908417
09,2.9617128534012864,97.03828714659872,73.13025042800815,0.8162955315248314,99.18370446847517,92.97058438018725,0.24108214560260635
10,3.571146696857701,96.4288533031423,75.91831819245697,1.3673991381290627,98.63260086187094,84.91440289059399,0.13435878314237507
11,41.168656969097135,58.831343030902865,25.269895427730535,25.85913754734693,74.14086245265307,39.993304142897465,0.1526643082072778
12,39.71307846702104,60.28692153297896,28.385885199877745,27.43112538190739,72.56887461809261,38.23237599380321,0.08545585370814666
13,40.50941737336374,59.49058262663626,25.70853605994052,21.753333484898434,78.24666651510157,42.769208034465905,0.2336673968326268
14,28.859778889749375,71.14022111025062,48.36181328627568,18.602866979284144,81.39713302071586,52.61876496309927,0.08481153326761355
15,6.09492261762139,93.90507738237861,67.38309567991381,3.4480002283821976,96.5519997716178,76.55104817912778,0.714558725052488
16,9.059621219133957,90.94037878086604,71.93206532196582,4.109658229565443,95.89034177043456,63.17956662281969,0.11051467674851494
17,25.464438659837096,74.5355613401629,41.45234696448065,5.199501231109044,94.80049876889096,80.02487097496498,0.3285278441502484
18,31.44505611177522,68.55494388822478,39.09952434238436,11.076842742095227,88.92315725790478,56.04937868172958,0.21168291273804674
19,7.620148652930351,92.37985134706965,72.30515778330472,1.067934633635984,98.93206536636401,88.79344139621958,0.3547485421734262
20,8.330164106893921,91.66983589310608,62.027658680552186,3.720611789875847,96.27938821012415,72.10803975705838,0.1458468701926638
21,30.901189321691415,69.09881067830858,45.83356178544463,9.611126638456653,90.38887336154335,71.31475038919878,0.25077776184686507
22,3.791763744650921,96.20823625534908,78.28262540302838,1.006953247204031,98.99304675279596,89.31652811834948,0.23968755553998164
23,3.464053867067808,96.5359461329322,77.68081814084672,1.0707111789615789,98.92928882103843,89.85993486284063,0.23196734902384059
24,21.515887130758134,78.48411286924187,43.89607910761057,8.737057679479829,91.26294232052017,67.00253921293651,0.4143590924380973
25,14.652914121333763,85.34708587866623,51.9663551197423,12.929664216173256,87.07033578382675,52.316378568117095,0.0006042293020221918
26,19.8374793735795,80.1625206264205,44.798405927955415,21.65754666491912,78.34245333508088,39.74682438262503,0.1403028360322771
27,26.863875836439025,73.13612416356098,34.98165098493437,9.865760769603337,90.13423923039666,60.39599926402064,0.5060772366312816
28,14.114084178875459,85.88591582112454,62.00831529736534,4.189923150298052,95.81007684970194,80.72728179855179,0.29879951654595016
29,24.481297311830097,75.51870268816991,42.81654224280899,5.466301977336935,94.53369802266306,71.33001693251295,0.40252950364679463
30,52.87390798995163,47.12609201004837,21.338885372303473,47.44721612524944,52.55278387475056,25.173318156855423,0.013790293152851905
31,15.842803782881665,84.15719621711834,70.1064928872288,14.192772788345945,85.80722721165405,75.19977370765858,0.0004660010146191213
32,11.474606157568601,88.5253938424314,72.70200062428906,7.786231403970034,92.21376859602996,78.17273462771594,0.3575919150318061
33,5.379815931523044,94.62018406847696,64.70000950814264,1.5274651157855887,98.47253488421441,78.26885281304467,0.4429096097413052
34,7.814220530446683,92.18577946955332,63.493414857526155,1.2725202429149798,98.72747975708502,79.50885627530364,0.8156166045767077
35,24.09400089206066,75.90599910793934,26.94511039250669,16.084827472763852,83.91517252723615,35.637070685342884,0.18689802301117112
