state/ut,urban-percentage,rural-percentage,p-value
00,59.60095185407026,80.49274855253414,0.2790102034939975
01,41.281389427252726,54.246700175449,0.13948436751609206
02,62.06720770544563,84.10767399875324,0.1152293718293435
03,42.76410774500137,59.16108401014011,0.19837319735360037
04,44.644939544589704,59.56331275223345,0.00015585558893307493
05,69.74671223721346,88.13078783803333,0.28322695822161364
06,67.54370538321031,83.29709833071048,0.19439571623200386
07,58.95569396573343,76.44317276072566,0.0025085704268678886
08,81.07611500059977,91.7534039378993,0.11092821531908417
09,73.13025042800815,92.97058438018725,0.24108214560260635
10,75.91831819245697,84.91440289059399,0.13435878314237507
11,25.269895427730535,39.993304142897465,0.1526643082072778
12,28.385885199877745,38.23237599380321,0.08545585370814666
13,25.70853605994052,42.769208034465905,0.2336673968326268
14,48.36181328627568,52.61876496309927,0.08481153326761355
15,67.38309567991381,76.55104817912778,0.714558725052488
16,71.93206532196582,63.17956662281969,0.11051467674851494
17,41.45234696448065,80.02487097496498,0.3285278441502484
18,39.09952434238436,56.04937868172958,0.21168291273804674
19,72.30515778330472,88.79344139621958,0.3547485421734262
20,62.027658680552186,72.10803975705838,0.1458468701926638
21,45.83356178544463,71.31475038919878,0.25077776184686507
22,78.28262540302838,89.31652811834948,0.23968755553998164
23,77.68081814084672,89.85993486284063,0.23196734902384059
24,43.89607910761057,67.00253921293651,0.4143590924380973
25,51.9663551197423,52.316378568117095,0.0006042293020221918
26,44.798405927955415,39.74682438262503,0.1403028360322771
27,34.98165098493437,60.39599926402064,0.5060772366312816
28,62.00831529736534,80.72728179855179,0.29879951654595016
29,42.81654224280899,71.33001693251295,0.40252950364679463
30,21.338885372303473,25.173318156855423,0.013790293152851905
31,70.1064928872288,75.19977370765858,0.0004660010146191213
32,72.70200062428906,78.17273462771594,0.3575919150318061
33,64.70000950814264,78.26885281304467,0.4429096097413052
34,63.493414857526155,79.50885627530364,0.8156166045767077
35,26.94511039250669,35.637070685342884,0.18689802301117112
