state/ut,male-percentage,female-percentage,p-value
00,71.65011794931502,76.46426421106435,0.544581481513664
01,45.26420709260613,56.81195599121451,0.9858377677078174
02,80.3563771567774,83.48259644801578,0.3919499869099863
03,50.24283332758404,56.11189913089054,0.5051186283857573
04,44.39149730566611,45.86583036182541,0.009503334511849156
05,80.87182909793796,84.33886987197583,0.3624921883263337
06,75.85987986128515,80.01374409533558,0.8959052171329658
07,57.8021538330756,61.22413425095329,0.1138834773394853
08,87.6517668407443,90.65604483256882,0.3790585446094943
09,87.26086903672274,89.96798876127744,0.4816594643576111
10,82.60166608088775,85.31091975830817,0.5413989346446864
11,33.964775435664095,38.90270497761794,0.2465505743699638
12,32.98711886058786,39.15752857132193,0.7324624979018067
13,35.40236705447426,40.470491784373486,0.7249401648542831
14,47.15039629191442,55.66402391180405,0.6471371869216989
15,68.6382551918738,74.9866664698164,0.41740998282933517
16,61.93405165238992,69.15313404918254,0.46409781049163934
17,70.4336681342135,74.15421912509144,0.48371201414040477
18,49.93925446453807,57.54532598399346,0.6499997423670519
19,81.23793942565821,85.9592559782642,0.35541136805060103
20,67.66620113092993,71.81120300334685,0.5412649556135252
21,62.919349564796306,71.29658769289131,0.4617593114659908
22,85.81285828334137,87.70008864640813,0.3225035363516836
23,85.44439418311656,87.62232038535575,0.5020071580806412
24,52.178026538156935,62.57966925462491,0.7359347054844332
25,52.58847246525306,51.18778645665225,0.003679011843063834
26,41.57153179190752,42.79921840092298,0.14708818306138832
27,44.997805403617555,53.104926750573426,0.9550509874082701
28,71.26914364792016,77.71797095164293,0.35632267100692183
29,57.9131677016347,62.76065232283966,0.6111018679542035
30,20.531428416808723,25.109222204460632,0.5477731023537871
31,65.7700087552456,76.98564593301435,0.4665736265210172
32,73.21389130072903,77.72975908541568,0.18089982995633377
33,69.55855716874008,73.85282951746443,0.3554042208173043
34,65.13009562277249,71.87626880187334,0.28170367090822174
35,29.818456063212583,35.261380901468684,0.36586923137160576
