state/ut,male-percentage,female-percentage,p-value
00,20.241548410288495,17.49869179290212,0.544581481513664
01,35.78051405115936,28.995278478266766,0.9858377677078174
02,13.885859708266212,12.177475641708218,0.3919499869099863
03,19.8118032318804,17.58998274784867,0.5051186283857573
04,24.85796408588114,23.926518628353346,0.009503334511849156
05,16.99633284693582,14.07897999381229,0.3624921883263337
06,19.09201767148578,15.859122348087938,0.8959052171329658
07,33.94719408197722,30.86982244348683,0.1138834773394853
08,10.540008202864184,8.241115068320452,0.3790585446094943
09,11.258478734454876,8.942479034101423,0.4816594643576111
10,15.503510924293174,13.376193854455208,0.5413989346446864
11,35.25954127588448,32.58494575784242,0.2465505743699638
12,33.86229675366152,33.68795861543859,0.7324624979018067
13,34.67587437259003,35.32368195099245,0.7249401648542831
14,28.08605116412922,25.949613606471317,0.6471371869216989
15,25.110788185234604,21.644979303039307,0.41740998282933517
16,31.176028715689913,26.98843760714538,0.46409781049163934
17,18.791056901849537,18.104927470599442,0.48371201414040477
18,33.52135328693732,31.21273082056864,0.6499997423670519
19,14.939389789067823,11.585782275646205,0.35541136805060103
20,26.628293685025945,24.28366517271119,0.5412649556135252
21,21.244381046774357,18.27060985502321,0.4617593114659908
22,12.276816727636282,10.904263373835567,0.3225035363516836
23,12.539962319779065,10.950205404886084,0.5020071580806412
24,31.368957609190613,25.712238921956118,0.7359347054844332
25,32.870040784825115,35.09887461536806,0.003679011843063834
26,35.58784062758051,39.02126723085849,0.14708818306138832
27,35.33379326799061,31.618782981971773,0.9550509874082701
28,19.691770533940485,16.33025999349623,0.35632267100692183
29,27.493410089439102,26.243053121548137,0.6111018679542035
30,25.984522553237547,26.80562409213169,0.5477731023537871
31,14.802403163964616,11.703349282296651,0.4665736265210172
32,15.966788649346507,13.899302529212713,0.18089982995633377
33,26.539198723780178,23.26741981982032,0.3554042208173043
34,28.207330154070704,23.267898565093272,0.28170367090822174
35,49.55464309832357,47.37212312194024,0.36586923137160576
