state/ut,male-percentage,female-percentage,p-value
00,8.108333640396491,6.037043996033532,0.544581481513664
01,18.955278856234514,14.192765530518724,0.9858377677078174
02,5.757763134956387,4.339927910275994,0.3919499869099863
03,29.945363440535566,26.298118121260792,0.5051186283857573
04,30.75053860845275,30.207651009821245,0.009503334511849156
05,2.1318380551262193,1.5821501342118722,0.3624921883263337
06,5.048102467229069,4.127133556576486,0.8959052171329658
07,8.25065208494718,7.906043305559882,0.1138834773394853
08,1.8082249563915183,1.1028400991107188,0.3790585446094943
09,1.48065222882239,1.0895322046211406,0.4816594643576111
10,1.894822994819076,1.3128863872366223,0.5413989346446864
11,30.775683288451418,28.512349264539647,0.2465505743699638
12,33.150584385750626,27.154512813239478,0.7324624979018067
13,29.92175857293571,24.20582626463407,0.7249401648542831
14,24.763552543956358,18.386362481724632,0.6471371869216989
15,6.250956622891604,3.3683542271442994,0.41740998282933517
16,6.889919631920169,3.858428343672081,0.46409781049163934
17,10.775274963936958,7.740853404309122,0.48371201414040477
18,16.53939224852462,11.241943195437901,0.6499997423670519
19,3.82267078527396,2.454961746089602,0.35541136805060103
20,5.705505184044124,3.905131823941969,0.5412649556135252
21,15.83626938842934,10.43280245208549,0.4617593114659908
22,1.9103249890223524,1.3956479797563037,0.3225035363516836
23,2.0156434971043784,1.4274742097581679,0.5020071580806412
24,16.45301585265245,11.708091823418968,0.7359347054844332
25,14.541486749921823,13.713338927979688,0.003679011843063834
26,22.840627580511974,18.179514368218527,0.14708818306138832
27,19.668401328391834,15.276290267454803,0.9550509874082701
28,9.039085818139355,5.951769054860847,0.35632267100692183
29,14.593422208926201,10.996294555612202,0.6111018679542035
30,53.48404902995373,48.08515370340768,0.5477731023537871
31,19.427588080789782,11.311004784688995,0.4665736265210172
32,10.819320049924467,8.370938385371613,0.18089982995633377
33,3.902244107479736,2.879750662715253,0.3554042208173043
34,6.662574223156809,4.855832633033384,0.28170367090822174
35,20.62690083846385,17.366495976591075,0.36586923137160576
